,id,Post,toxic,severe_toxic,obscene,threat,insult,identity_hate,class,sum
1219,0349653f81b942ba,joker european parliament power non bind silly report mean important rule ancestor century try negative image turk turkey page change place revenge edit golden dawn wikipedia idea welcome,1,0,0,0,0,0,toxic,1
1253,035bd3aeb4083093,homosexual marriage totally gay,1,0,0,0,0,0,toxic,1
1292,0384515afa407869,hey heck think watch page mean recent vandalism personel attack account guess freak edit stuff good way idiot screw blame piss hell,1,0,0,0,0,0,toxic,1
1341,03a749e7639fd6be,gay love gay love gay love,1,0,0,0,0,0,toxic,1
1343,03a8dc2a34c1ab39,vandal pathetic wiki administrator say right,1,0,0,0,0,0,toxic,1
1411,03cd3bc6e0953f94,sad little individual,1,0,0,0,0,0,toxic,1
1431,03d48eb600a1ae73,camille paglia sex positive feminist support link ask stupid twit lazy read entirety post relevant section camille paglia hand say public year ago endorse prostitute stripper extreme sex positive experience concern effect young people people grow climate opposite direction concern outrage stereotype way career teacher yes situation commercialise sex push true eroticism say year get point meaningless exhibitionism real eroticism eroticism camille paglia major american social critic paglia academic write focus role vibrant dangerous sexuality human history paglia key importance sex positive feminism write sex advocacy traditional value canon text paglia somewhat intellectual enigma conservative academic feminist revel low high culture alike celebrate sexuality disapprove mainstream western culture paglia way present respectable face pro sex feminism world large,1,0,0,0,0,0,toxic,1
1444,03dd90664e855020,listen narrow eye teacher live minimum wage buck buck chicken trash talk wanna consider move lemuria land kind scum roam,1,0,0,0,0,0,toxic,1
1446,03defcf604c604cf,matter think big retard antisemite throw wheeler grill cover razor wire video tape people find lone tripod road video think lulzy youtube posterity,1,0,0,0,0,0,toxic,1
1507,040cc51550e58864,man dishonest person disgust,1,0,0,0,0,0,toxic,1
1521,0416eaa1ca33af54,poor edit edit look fine wtf matter,1,0,0,0,0,0,toxic,1
1543,04273b9c5738c89c,sound bite stupid question wrong jew think resemplence holocoust armeian deportation,1,0,0,0,0,0,toxic,1
1559,04316638593290c8,help admin incident board edit war police commit crime truly ridiculous basically guy steal wallet punch arrest assault horrible power hungry ego booster take wikipedia,1,0,0,0,0,0,toxic,1
1565,0435cf3f291d5d79,lmao basically say wahhh call dumb gunna block nice use admin power stay talk page,1,0,0,0,0,0,toxic,1
1588,0444b497d3969b31,worth,1,0,0,0,0,0,toxic,1
1592,04471326463502f1,hell mean cough cough excuse hell accuse disruptive edit individual actually write bulk article rajbeer singh give right come simply delete write wish contribute link ahead hell give permission simply delete write spend time effort carry delete work carry undo pleasure,1,0,0,0,0,0,toxic,1
1593,04478c56865dd011,live darkness guy yourselfs importance mind maybe drink power,1,0,0,0,0,0,toxic,1
1612,044ff15f3f19bda5,reject hand follow dozen similarly ditch produce fukkin dozen matter pure pos pay scumbag,1,0,0,0,0,0,toxic,1
1625,045d2457a827c5f7,anti semitic crap article anti semitic conspiracy theory cherish aryan supremacist rightist,1,0,0,0,0,0,toxic,1
1648,04740afdec5c0429,god hate let hope die,1,0,0,0,0,0,toxic,1
1651,0478a92d92a5ad98,find creditable citation claim load racist horse shit,1,0,0,0,0,0,toxic,1
1653,047a7b94bbbdb090,silly moms lovely page mean kiddde nice cause black black,1,0,0,0,0,0,toxic,1
1664,04844cbb448e7f0a,drmies delete frankie stein monster high drmies word,1,0,0,0,0,0,toxic,1
1669,0489a254fed03fab,stop leave stupid harp message peopel nil talk,1,0,0,0,0,0,toxic,1
1705,04a2576b8653d081,gwh truly bad admin wikipedia god mercy poor pathetic overweight ugly soul,1,0,0,0,0,0,toxic,1
1724,04ac4f118a1563c4,project heck unambiguous copyright infringement write promotional way explain project system requirment start people hate wikipedia,1,0,0,0,0,0,toxic,1
1788,04d7dfc05bd69f45,jimbo crybaby sit computer everyday act arbiter grand wikipedia know know expert savior western world course question cry main office ill treatment way lousy editor use source joke,1,0,0,0,0,0,toxic,1
1816,04e9695e9cf006b8,historical fact concern current armenia pertain wikiprojects pathetic wink mark antiturkish ass delete talk page entry fuck asshole obvious criminial loose suppose pimp mother downtown time night normally,1,0,0,0,0,0,toxic,1
1818,04e9fde291ed2a8f,lol lol seriously bryanfrompalatine resolve cologne germany happen reside use sockpuppet edit mainly fast monobook css gadget remember include active username signature let waste meagre brain ressource fuck hot girlfriend hour come time time life unfair calm hindu cow laugh face pov push encyclopedia harm moron everyme log,1,0,0,0,0,0,toxic,1
1938,054032f0cb3ecd35,bias point sign exist,1,0,0,0,0,0,toxic,1
2034,0585db8155c9fd6c,deceptive little creature assume good faith deliberately scrub shed little light race hygiene theory originate dear little country fit want create perception reader crank conspiracy theorist wikipedia article henry ford include stuff protocols zion,1,0,0,0,0,0,toxic,1
2077,059e1c15bbd733e5,stop troll zapatancas call liar merely demonstarte arer zapatancas choose chase legitimate editor site ignore editor record troll wish completely ignore sockpuppet consensus overwhelmingly trollin lover zapatancas,1,0,0,0,0,0,toxic,1
2089,05a6e59c979e05f3,knock spinningspark quit community ban block sinkhole deeply deep want live need advantage priviledge basically hell wikipedia year edit wikimedia project demonstrate week appeal beneficial project create new account selective maybe eligible adminship thing community ban want revenge,1,0,0,0,0,0,toxic,1
2138,05c73c6c6434cf7c,wtf ban person fourm say ban syria closeness name asad assad correct form asad game say wrong crazy say dumb stuff stupid right cause find source confirm statement game ban syria asad assad common middle eastern name,1,0,0,0,0,0,toxic,1
2159,05d64672770cf199,agree part article apparently bias example follow downfall common knowledge molay plan corrupt catherine valois male child tend sorrow engage act anal rape philip know danger molay represent son nearly sexually molest molay escape vile pervert confess philip molay try myth say jacques molay curse philippe bel descent execution pyre curse respond philip shout defiance fuck molay speculate boy molay corrupt grow enjoy perversion homosexual lifestyle introduce legacy member encourage model conduct example loyalty fidelity instead homosexual perversion molay guilty vile pervert homosexual perversion sheesh clean article,1,0,0,0,0,0,toxic,1
2170,05e1f7b3ec3e9e2f,good grief read try examine substance link sick tire child rant read,1,0,0,0,0,0,toxic,1
2225,060b5911d0692697,vandalism spree vandalism spree pitiful support motion thank lot,1,0,0,0,0,0,toxic,1
2322,0640e0bf385935a2,mfnickster sure exposure argumentative fallacy write exterminate negro population biographical account mean idea wholly evidence warrant section article topic sure hard grandmother,1,0,0,0,0,0,toxic,1
2347,0649fc651d237b08,let make personal attack edit war respectively make threat nice want good day stop bully find hobby,1,0,0,0,0,0,toxic,1
2353,064cb4bb379da126,spanish truth cite act like fraken gatekeeper know shit,1,0,0,0,0,0,toxic,1
2371,065e8715c7eaf6d4,talk googie man get simple word shut let guy spend time sit computer edit wikipedia name googie man think big think well stop call rogue editer corny thing hear know mad fun replace horrible terrible ugly picture donnie baseball call rogue big outrage see delete picture blind picture page bad picture history world page delete comment talk page right express opinion villian hostage stop reign king wikipedia picture stay outta way,1,0,0,0,0,0,toxic,1
2378,066473de21c43cf0,sure issue rise book fictional library fictional librarian real book fictional stop bloody add real thing category fictional thing difficult,1,0,0,0,0,0,toxic,1
2465,0693fd2170ecfa6d,date want sniff leaky blood box,1,0,0,0,0,0,toxic,1
2468,0695e0af39cb0e22,piss sanctimonious weed forget irrelevant topic arbitrarily abuse privilege mean sort prick suspend country dispute party daniel dumbass finish stroke ego want remember wikipedia,1,0,0,0,0,0,toxic,1
2494,06a44c69b4c3fb43,response recent comment talk page suggest contract cancer,1,0,0,0,0,0,toxic,1
2562,06dbdb75b2a46e2a,hell block admin,1,0,0,0,0,0,toxic,1
2565,06deb5df37817a34,disgrace sit life revert valid edit life idiot,1,0,0,0,0,0,toxic,1
2571,06e241649bee58ac,believe continue drastic measure watch step,1,0,0,0,0,0,toxic,1
2575,06e2bb0770387ff3,stupid block sorry kingdom hearts iii playstation xbox announce playstation,1,0,0,0,0,0,toxic,1
2619,0700ea3e45b115b9,yeah subscribe opinion stop spamme message make opinion superior abuse spam issue revert proof contrary proof lackies run,1,0,0,0,0,0,toxic,1
2631,070a47fedbf8f379,sure eat alot tube steak,1,0,0,0,0,0,toxic,1
2646,071745e3eb03538e,ooh guess hit sore spot realize narcissism quit refer person congratulation expose insecurity day hate live worthless life edit wikipedia jesus,1,0,0,0,0,0,toxic,1
2689,073b16dcd47073b2,wiki fascist leave edit increase eknwoledge base basic idea wiki edit upset preciousness problem wiki address wiki hitlerism manifest determination delete homosexual clique camh acceptable wiki previous edit liquorice poison delete prissy original post incorporate edit bite deeitful essence wikiism,1,0,0,0,0,0,toxic,1
2706,0748b478b84d6898,atreus want information relevant atreus include page vandalism opinion,1,0,0,0,0,0,toxic,1
2839,07a72f0b59459a3f,yea sort local shit disturber young adult life family pss year ago,1,0,0,0,0,0,toxic,1
2854,07b36c594fbd6b54,okay king wikipedia nazis,1,0,0,0,0,0,toxic,1
2917,07e167686eb78ca6,get sand trap vagina make little bite cranky,1,0,0,0,0,0,toxic,1
2931,07eb17742300fb7e,course patron kindly assort bunch hobo wash generally unemployed perpetually starve people hollywood star wannabee,1,0,0,0,0,0,toxic,1
2943,07f43ce970b0b72d,riiiiight moron definately police article political reason oppose honest indignation sort endless pile israeli propaganda political threat want read convoy normally wiki activity limit edit nationalist crap people insert history article today temple buddy hey wait maybe guy rub nose triangulate new address god forget funny jew joke anti semetic sure checkin page,1,0,0,0,0,0,toxic,1
2952,07fa808e885ab8d0,come bad human earth happen admin beloved protect internet,1,0,0,0,0,0,toxic,1
3018,0824bb2c88daafc4,lulu screed statement late daily slander bite sound partisan pov pusher instead npov editor salacious statement show lack knowledge word slander record proper usage liable question temperament edit politically charge article note anon gamaliel know agenda partisan picture shrine homepage adult play real world rule child play dumbass game call question lulu temperament edit responsible consider partisan temperament basic understand word lulus like use personal attack bad wikipeida admin behave little child instead responsible adult,1,0,0,0,0,0,toxic,1
3033,0831a9934bee1482,comment personal attack example call dumb ass little shit squeakbox annoy user week agree lease removal solely comment unfair irrational speak truth wikipedia obsession civility border ridiculous mean people hide think play nice obviously disruptive user hit banhammer,1,0,0,0,0,0,toxic,1
3091,0857350768f86704,hell talk insert link type text nazi bias include page simply state fact fact like nonetheless fact pay internet hall monitor skill use work brown noser fox news upset tell truth precious president,1,0,0,0,0,0,toxic,1
3097,085c303332db7ea3,piece shiit pissant little creatin purpose life graduate thirdclass college well prosti mom uneducated earn thousandth sweet briar alums earn see face sooo ugly pass sweet briar monkey brain,1,0,0,0,0,0,toxic,1
3111,08656465bd64aba7,ihad sex katy perry nught mommy catch right middle,1,0,0,0,0,0,toxic,1
3124,086f0a73bacda5bb,good luck wikipedia suck oooh look award certain feel good inside,1,0,0,0,0,0,toxic,1
3133,087337fa7a4131d5,small penis lalalalalalalalala,1,0,0,0,0,0,toxic,1
3166,088f9a2bfb09a548,stupid project wikipedia hub information age fill porno article inappropriate material encyclopedic read general population child restrict audience wikipedia surely mean source information free accessible ostensibly link explicit material encyclopedia know wikipedia censorship issue far,1,0,0,0,0,0,toxic,1
3184,089737390595e17f,stfu change stf gonna kill pic business,1,0,0,0,0,0,toxic,1
3186,089813ac324f8c33,hello coren moron get lulz worry try ban cuz new minute account lulz wiki police homo asshole case figure probably sex farm animal mom donkey anyways imma kool dude lozer homo ban edit internet forever moar lulz,1,0,0,0,0,0,toxic,1
3202,08a4623cedec17e1,talk page try uninformed idiot change hard impact article thistypical wikinonsense,1,0,0,0,0,0,toxic,1
3213,08acc5d9d599b41c,mark semen viable procreate child homosexual procreate mark,1,0,0,0,0,0,toxic,1
3218,08af9b4eea83da39,far right jewish relate gamergate bizarre idiotic hate far right far leave far leave hate precede unsigned comment add,1,0,0,0,0,0,toxic,1
3271,08d3ab339f4c803f,delete afrojack afro jackos,1,0,0,0,0,0,toxic,1
3272,08d6300120667267,defeat roydosan fellow greeks defeat roydosan run cattle heil,1,0,0,0,0,0,toxic,1
3280,08dcc424d3b0bf7e,justin like,1,0,0,0,0,0,toxic,1
3303,08e737ace8effc43,precede unsigned comment add talk contrib august fuck,1,0,0,0,0,0,toxic,1
3310,08efbe9f80f86780,yeah say hear ferrara crook bad lieutenant appear german sausage,1,0,0,0,0,0,toxic,1
3321,08f4270aad0adde8,unbelievable ahead remove section unilaterally wait comment editor warn wee abstain disruptive borderline vandalism edit,1,0,0,0,0,0,toxic,1
3365,091190d9e81adb77,capitalize thing actually bad grammer title need lesson teacher matt stiker lol seriously call people gay offend total nerd real life call name feel sorry wikipedia probably action creeper site visit,1,0,0,0,0,0,toxic,1
3374,09184bcda06ab04d,antisemite protect jews geez see pig fly nearby hear snow hell,1,0,0,0,0,0,toxic,1
3396,0927c621f8cb92ff,jewish sure understand wrong gay jews think godforsaken regime civilize world civilize people jews gay gay supporter blatantly single tribe influence way look way influence conquest rape force deportation get iran think move,1,0,0,0,0,0,toxic,1
3409,092f6b7c3b68537e,utterly stupid suggestion sure wikipedia cry page create couple non league footballer finish play football probably stack shelf asda work kva link name solution,1,0,0,0,0,0,toxic,1
3419,0933dc7e6a736ff4,identify nazi neo nazi facist neo fascist accept agree action view hitler dictator world matter hate jews fact jewish friend hello technically unblock appeal reason explain mood unblock finish talk want apologise think put giant swastika page reason jewish friend normally joke jews christians thing joke holocaust nice apparently joke jews lawyer set close friend jew claim think facist nazi hate jews gotreally frustrate annoy come home start mess userpage second like ask permissable self identify nazi userboxe deal subject userbox state user identify hitlerist hell let people support hitler let nazi nazi mean condone hitler action simple mean support theory politic nazism nazi support horrible eugenic policy hitlerist obviously say support arguement course offensive jews take account ban say identify communist extremely offensive christian want talk horrible thing christians communist russia reference nice book think thing put shackle ankle wrist christians spike inside cut skin move starve rat cell try eat alive fight wrist ankle kill tie cross hang upside huge pile prisoner cram small room force excrete stand upright box drive long nail alright stand perfectly stand hour body sway poke nail stand naked freezer doctor nearby signal freeze death warm hour end beat ask renounce christ holocaust horrible gas hang nazi endure torture year man write book experience ban communist comment response chzz question make gay comment statement nowadays word gay mean homosexuality wierd stupid dumb second connotation maybe people spend time gay sorry stupid online encyclopedia realize real world use word unblock wikibreak want addict point ruin social life recieve punishment admin gay sorry dumb trust thing know enventually remove swastika cool gay sorry dumb policy lose editor thing annoy chzz wikipedia year think forget sign gay sorry stupid post yeah right,1,0,0,0,0,0,toxic,1
3447,0949991fcaec95ad,communist zod opinion thing zod user iamzodyourzodeveryzod boo yah,1,0,0,0,0,0,toxic,1
3458,09544aecf2b48df6,dude fear ban hindu terrorist perfect personal attack make till ban international human right orgs north east thing expertise know stooge rss shiv sena bajrang dal yuck name hindu terrorist org percent sure killer chittisinghpura terrorist hindu terrorist coz want defame hindus wait ban,1,0,0,0,0,0,toxic,1
3503,096d00eabce64a38,block report harassment thing liar,1,0,0,0,0,0,toxic,1
3540,0984c26029e44887,disruptive appear attention seek remark argumentum hominem argument evidence suppose motive attack disagree article unambiguous violation agf particular article work improve figure basis accusation check edit history lot article constantly work improve look edit history show fly face idiotic remark entire list article create work see user page include article single handedly bring status arthur adams comic_strip article example expand improve ongoing basis past year currently undergo examination process inane comment reveal abject child pathological liar brazenly attack dare disagree,1,0,0,0,0,0,toxic,1
3551,0988d97a69de83c0,sex user areaseven,1,0,0,0,0,0,toxic,1
3560,0990066f7cf1e903,listen fag need life stop edit wikipedia look outside awhile world pass sit try ensure little word little article correct vandalism correct information favor mouse keyboard wash cheeto encrust finger pale fat ass outside walk traffic deal,1,0,0,0,0,0,toxic,1
3561,09914ace666e9c1f,hey todds quick gay,1,0,0,0,0,0,toxic,1
3628,09b73fd88f54d22b,world consider sunnis terrorist,1,0,0,0,0,0,toxic,1
3654,09c37b98d3708bd0,baseballs bug ugly ignorant fool,1,0,0,0,0,0,toxic,1
3657,09c7776f1f7f74b9,get pancake mix lady stopppp,1,0,0,0,0,0,toxic,1
3774,0a1746ac2c507f68,hate guy liar hate evil,1,0,0,0,0,0,toxic,1
3776,0a19319ca119d890,retire useless,1,0,0,0,0,0,toxic,1
3819,0a31507f0d185fe6,program night crime museum blackout ripper call serial killer expert police catch fact right retard,1,0,0,0,0,0,toxic,1
3830,0a37add9547a60fc,fool thing ultra nationalist political party france revolution fact google want change simple fact abstract concept nationalism ultra nationalism thing political party sorry babe wrong embarrassingly wrong accept baby boy,1,0,0,0,0,0,toxic,1
3875,0a5bf36e19681663,big shoot register user cry little girl call,1,0,0,0,0,0,toxic,1
3910,0a71ae32bad10556,netaji ridiculous username hope visit india regularly contribution wikipedia clear homesick lose touch street reality india well soon,1,0,0,0,0,0,toxic,1
3947,0a845d8cd1e4f82b,mkil sick future reference learn write edit encyclopedia look fool illiterate sign post make harrasse edit year fail simple thing sign post right bet drop head child need answer write style give,1,0,0,0,0,0,toxic,1
3959,0a8f2dd60127b7f2,imagine treat hapfsjen like treat anon editor know english poor comprehension poor messy edit leave avoid conflict drmie treat people shit want delete article period period comment talk page academic holocaust survivor act like anti semite bully people disagree cry foul editor point abusive action speak action admin impost pov contentious article statement want block blatant lie say opposite past participate accusation sock try block indefinitely long run conflict lie want block point fact demonstrate liar bigotry bully bias prejudice discrimination abuse wrong limit speak action perversely speak bad abuse wikipedia punishable fact speak,1,0,0,0,0,0,toxic,1
4029,0ac50860dbb78896,post garbage page,1,0,0,0,0,0,toxic,1
4048,0ad5b39add795880,delete comment zionist allow delete comment warn need delete rid warn read rule stoppin try spread propaganda zionist freak aswell page terrorist state briliant state propagnadist,1,0,0,0,0,0,toxic,1
4049,0ad65ac67eff0146,barbarians chinese country disgust barbarian highly recommend chinese people flee horror ccp come official falun gong murder genocide official number certain iron curtain china see destruction genocide soviet union damn chinese feel bad falun gong hope ccp die horrible skin disease,1,0,0,0,0,0,toxic,1
4078,0ae332d026f99eee,know hell talk,1,0,0,0,0,0,toxic,1
4080,0ae3980b230cd64c,trashy mikkalai start revert work racial trashy message space,1,0,0,0,0,0,toxic,1
4087,0ae90d07e1f982a7,want let know think faggot find well thing time,1,0,0,0,0,0,toxic,1
4220,0b3f27101a1dbf8a,look conversation want ingnite argument long resolve find maybe want read say use fresh argument maybe scientist research old workshy yorkshireman interact discuss trivial beatles relate matter increasingly confuse pseudonym look archive hilarious altercation friend critic entertain hour try random discussion generator enter archive choose random head read relevant text pot luck madness maybe publisher look new form coffee table literature view make lucky stubborn argumentative wikipedia contributer household look god smile day man likely admin look time block big block becuase call fellow wikipedian fuck useless tosser kill let save time block yes good cover,1,0,0,0,0,0,toxic,1
4235,0b4797b2dff0afaa,seriousy thing think actually say precious wikipedia policy say way half shoot ignore fact obviously joke happen religious belief human race well population die tomorrow mean kill people make specific death threat individual actually sense realize say god fuck idiot die probably want die accurately care people actually emotion require sit pray death person group people people want horrible insensitive person edit wiki talk page probably good grant piss people letter automatically assume write russian cyrillic alphabet slavic language central asian soviet republic mongolia call idiot boo fuck hoo maybe say language instead assume russian insult call idiot guarantee time insult call russian proud native russian culture besmirch allegation example bad contributor spell correction fact edit summary feel sad fact nigger spell think raise issue use word live harlem word comma try tell difference nigga nigger call dialect purpose make sense write thing phonetically pronounce person say find usually clear spell properly nigger black person racist draw distinction people holy opinion nigger inside people instance offense reason mean say black people stupid think marginalize society tar feather string tree drag town enormous wang etc hear like know black black people know personally use word nigger society silly idea word harmful word harmful idea harmful particularly harmful idea certain word unspeakably horrible allow reason want end racism forever stop freak fuck time word nigger seriously happen priest docktor save humanity responsibility fuck like hate good person forget complain mean complain wikipedia uncivil wikipedo community unbearable normal adjust individual look page edit good encyclopedia tiny exception long time ago see change caption scottish fold winston churchill revert revert feel appropriate caption particular image beneficial improve quality content little hard people hang thing wrong right user page wrong thing try argue world hurt butthurt exact blame actually warn people fag humorless oversensitive fascist wikipedo unwarranted self importance administrative power fuck succeed get sand vagina join wikipedia want well guess cunt actually enjoy bathe aro,1,0,0,0,0,0,toxic,1
4273,0b680c5414c2c6e6,request change wolfpuss congratulation dirty thinker community submit naughtiness,1,0,0,0,0,0,toxic,1
4283,0b6d3b57efaf9515,priest pedophile true know,1,0,0,0,0,0,toxic,1
4308,0b7985c778a59423,vandal,1,0,0,0,0,0,toxic,1
4314,0b7c3e4a032a6c97,conversation rediculous color flag mean represent different idea ideal decide color mean color call yellow neglect fully appreciate mean choice gold flag color mean convey idea eternal original wealth prosperity high mighty name color reactionary frankly stupid position hold flag symbol mean illustrate idea use image color form symbolism use gold flag way attempt sound high mighty way communicate dolt,1,0,0,0,0,0,toxic,1
4317,0b7e7f83515246aa,yeah like team hell stadium douche,1,0,0,0,0,0,toxic,1
4321,0b802a3f5684f94f,big fool kunstler jkg know,1,0,0,0,0,0,toxic,1
